id,通用名称,药品名称,注意事项,注意事项关系
163,加巴喷丁胶囊,,临床对照研究中，16%的患者出现了可能有临床意义的血糖波动（3.3mmol/L或者≥7.8mmol/L，正常值范围3.5～5.5mmol/L）。因此糖尿病患者需经常监测血糖，如必要，随时调整降糖药剂量。肾功能不全的患者，服用迭力(加巴喷丁胶囊)必须减量（见用法用量）。曾有服用本品发生出血性胰腺炎的报告。因此，如出现胰腺炎的临床症状（持续性腹痛、恶心、反复呕吐），应立即停用本品，并进行全面的体检，临床和实验室检查以期尽早诊断胰腺炎。对慢性胰腺炎的患者，尚无充分的使用加巴喷丁的经验，应由医生决定加巴喷丁的使用。对驾驶及机械操作的影响加巴喷丁作用于中枢神经系统，可引起镇静、眩晕或类似症状。因此，即便按照规定剂量服用本品，也可降低反应速度，使驾驶能力、操纵复杂机器的能力和在暴露环境中工作的能力受到损害，特别在治疗初期、药物加量、更换药物时或者同时饮酒时。,肾功能不全-减量，驾驶能力-不宜，操纵复杂机器-不宜
164,托吡酯胶囊,,对于有或无癫痫发作或癫痫病史的患者，包括本品在内的抗癫痫药物应逐渐停药以使癫痫发作和发作频率增加的可能性减至最低。在临床试验中，成人癫痫患者每周减量50-100mg/日，预防偏头痛剂量迭100mg/日时，成人每周减量25-50mg/日。在儿童的临床试验中，本品应在2-8周内逐渐停药。临床上如需快速停药，建议进行适当监测。(详见说明书),
165,丙戊酰胺片,,1.有血液病，肝病史，肾功能损害，器质性脑病患者慎用。2.停药时应逐渐减量以防再次出现发作；取代其他抗惊厥药物时，本品应逐渐增加用量，而被取代药应逐渐减少用量。3.外科手术或其他急症治疗时应考虑可能遇到的时间延长，或中枢神经抑制作用的增强。4.用药前和用药期间应定期作全血细胞(包括血小板)计数、肝肾功能检查。5.对诊断的干扰，尿酮试验可出现假阳性，甲状腺功能试验可能受影响。6.使乳酸脱氢酶、丙氨酸氨基转移酶、门冬氨酸氨基转移酶轻度升高并提示无症状性肝脏中毒。血清胆红素可能升高提示潜在的严重肝脏中毒。7.出现意识障碍、肝功能异常、胰腺炎等严重不良反应时，应停药。,明显肝功能损害-禁用，血液病-慎用，肝病史-慎用，肾功能损害-慎用，器质性脑病-慎用，血小板计数-检查，肝功能-检查，肾功能-检查，意识障碍-停用，肝功能异常-停用，胰腺炎-停用
166,卡马西平片,,1.与三环类抗抑郁药有交叉过敏反应。2.用药期间注意检查全血细胞检查（包括血小板、网织红细胞及血清铁，应经常复查达2~3年），尿常规，肝功能，眼科检查；卡马西平血药浓度测定。3.一般疼痛不要用本品。4.糖尿病人可能引起尿糖增加，应注意。5.癫癎患者不能突然撤药。6.已用其他抗癫癎药的病人，本品用量应逐渐递增，治疗4周后可能需要增加剂量，避免自身诱导所致血药浓度下降。7.下列情况应停药肝中毒或骨髓抑制症状出现，心血管系统不良反应或皮疹出现。8.用于特异性疼痛综合征止痛时，如果疼痛完全缓解，应每月减量至停药。9.饭后服用可减少胃肠反应，漏服时应尽快补服，不可一次服双倍量，可一日内分次补足。10.下列情况应慎用乙醇中毒，心脏损害，冠心病，糖尿病，青光眼，对其他药物有血液反应史者（易诱发骨髓抑制），肝病，抗利尿激素分泌异常或其他内分泌紊乱，尿潴留，肾病。,全血细胞-检查，血小板-检查，网织红细胞-检查，血清铁-检查，尿常-检查，肝功能-检查，眼科-检查，肝中毒-停用，骨髓抑制症状-停用，心血管系统不良反应-停用，皮疹-停用，乙醇中毒-慎用，心脏损害-慎用，冠心病-慎用，糖尿病-慎用，青光眼-慎用，易诱发骨髓抑制-慎用，肝病-慎用，抗利尿激素分泌异常-慎用，内分泌紊乱-慎用，尿潴留-慎用，肾病-慎用
167,苯妥英钠片,,1.对乙内酰脲类中一种药过敏者，对本品也过敏；2.有酶诱导作用，可对某些诊断产生干扰，如地塞米松试验，甲状腺功能试验，使血清碱性磷酸酶、谷丙转氨酶、血糖浓度升高；3.用药期间需检查血象、肝功能、血钙、口腔、脑电图、甲状腺功能并经常随访血药浓度，防止毒性反应；其妊娠期每月测定一次、产后每周测定一次血药浓度以确定是否需要调整剂量；4.下列情况应慎用嗜酒，使本品的血药浓度降低；贫血，增加严重感染的危险性；心血管病(尤其老人)；糖尿病，可能升高血糖；肝肾功能损害，改变本药的代谢和排泄；甲状腺功能异常者。,血象-检查，肝功能-检查，血钙-检查，口腔-检查，脑电图-检查，甲状腺功能-检查，嗜酒-慎用，贫血-慎用，心血管病-慎用，糖尿病-慎用，肝肾功能损害-慎用，甲状腺功能异常-慎用
168,左乙拉西坦口服溶液,,由于个体敏感性差异，在治疗初始阶段或者剂量增加后，会产生嗜睡或者其他中枢神经症状。因而，对于这些需要服用药物的病人，不推荐操作需要技巧的机器，如驾驶汽车或者操纵机械。,驾驶汽车-不宜，操纵机械-不宜
169,丙戊酸镁片,,1.肝、肾功能不全者应减量或慎用，血小板减少症患者慎用。用药期间应定期检查肝功能与白细胞、血小板计数。2.出现意识障碍，肝功能异常，胰腺炎等严重不良反应，应停药。3.本品发生不良反应往往与血药浓度过高（＞120μg/ml）有关，故建议有条件的医院，最好进行血药度检测。,.肝功能不全-慎用，肾功能不全-慎用，血小板减少症-慎用，肝功能-检查，白细胞-检查，血小板计数-检查，意识障碍-停用，肝功能异常-停用，胰腺炎-停用
170,托吡酯片,,包括妥泰在内的抗癫痫药物应逐渐停药以使发作频率增高的可能性减至最低。在临床试验中，每周减量100mg/日。某些病人在无并发症的情况下停药过程可加速。原形托吡酯及其代谢产物主要经肾脏清除。肾脏清除的能力与肾脏的功能有关，而与年龄无关。伴有中度或重度肾功能损害的患者达到稳态血浆浓度的时间可能需10-15天，而肾功能正常的患者只需4-8天。由于已知有肾脏损害的患者，在每个剂量下达到稳态血浆浓度的时间有所延长，与所有患者一样，其剂量调整应依据临床疗效进行(如对发作的控制，副作用的发生)。某些患者，尤其是伴有潜在肾病因素的患者可能有增加肾结石形成的危险，建议大量饮水以降低肾结石形成的危险。肾结石的危险因素包括先前已有肾结石形成以及具有肾结石和高钙尿的家族史。在托吡酯治疗期间，无一危险因素被证明可确实导致肾结石形成。此外，患者所服用的其它与肾结石有关的药物可能也会增加危险因素。与所有抗癫痫药物一样，妥泰作用于中枢神经系统，可产生嗜睡、头晕或其它相关症状。这些不良反应不论是轻度或是中度，对驾驶汽车或操纵机器的患者都有潜在危险，患者在获得用药经验之前的危险更大。,驾驶汽车-不宜，操纵机器-不宜
171,卡马西平片,,1、服用本品较常见的不良反应有视力模糊或复视，较不常见的有过敏反应或Stevens-Johnson综合症或中毒性皮肤反应如荨麻疹、瘙痒、或皮疹、行为改变；抗利尿激素分泌过多综合症；系统性红斑狼疮样综合症。2、有心脏房室传导阻滞、血小板、血常规及血清铁严重异常，以及骨髓抑制等病史时，本品禁用；哺乳期妇女不宜应用。3、下列情况应慎用孕妇；乙醇中毒；心脏损害、冠状动脉病；糖尿病；青光眼；对其他药物有血液方面不良反应史的病人；肝病；尿潴留；肾病。,心脏房室传导阻滞-禁忌，血小板异常-禁忌，血常规异常-禁忌，血清铁严重异常-禁忌，骨髓抑制-禁忌，哺乳期妇女-禁忌，孕妇；乙醇中毒-慎用，心脏损害-慎用，冠状动脉病-慎用，糖尿病-慎用，青光眼-慎用，肝病-慎用，尿潴留-慎用，肾病-慎用，
172,丙戊酸钠片,,1.用药期间避免饮酒，饮酒可加重镇静作用；2.停药应逐渐减量以防再次出现发作；取代其他抗惊厥药物时，本品应逐渐增加用量，而被取代药应逐渐减少用量；3.外科系手术或其他急症治疗时应考虑可能遇到的时间延长，或中枢神经抑制药作用的增强。4.用药前和用药期间应定期作全血细胞（包括血小板）计数、肝肾功能检查。5.对诊断的干扰，尿酮试验可出现假阳性，甲状腺功能试验可能受影响；6.可使乳酸脱氢酶、丙氨酸氨基转移酶、门冬氨酸氨基转移酶轻度升高并提示无症状性肝脏中毒。血清胆红素可能升高提示潜在的严重肝脏中毒。,
173,丙戊酸钠片,,1．用药期间避免饮酒，饮酒可加重镇静作用；2．停药应逐渐减量以防再次出现发作；取代其他抗惊厥药物时，本品应逐渐增加用量，而被取代药应逐渐减少用量；3．外科手术或其他急症治疗时应考虑可能遇到的时间延长，或中枢神经抑制药作用的增强。4．用药前和用药期间应定期作全血细胞(包括血小板)计数、肝肾功能检查。5．对诊断的干扰，尿酮试验可出现假阳性，甲状腺功能试验可能受影响；6．可使乳酸脱氢酶、丙氨酸氨基转移酶、门冬氨酸氨基转移酶轻度升高并提示无症状性肝脏中毒。血清胆红素可能升高提示潜在的严重肝脏中毒。,血细胞计数-检查，血小板计数-检查，肝肾功能-检查
174,化风丹,,1.本品为处方药，必须在医生指导下使用。2.服用本品定期检查血、尿中汞、砷离子浓度，检查肝、肾功能。,血汞离子浓度-检查，血砷离子浓度-检查，尿汞离子浓度-检查，尿砷离子浓度-检查，肝功能-检查，肾功能-检查
175,癫痫康胶囊,,1.在治疗期间应遵医嘱按时用药。2.对烟、酒、浓茶、咖啡、可口可乐等含有兴奋作用的食物及饮品尽量少用。3.日常生活中注意大喜、大悲及较大的惊险、恐惧等精神刺激。4.如原服用西药，改用癫痫康胶囊治疗时，应在医师指导下平稳过渡用药。5.服用癫痫康胶囊完全控制癫痫发作后，应在医师指导下逐渐减少用量，以巩固疗效。6.对本品过敏者禁用，过敏体质者慎用。,
